0.132,0.077
0.084,0.004
0.083,0
0.108,0.145
0.381,0.214
0.437,0.279
0.348,0.057
0.535,0
0.261,0
0.749,0.527
0.568,0.473
0.591,0.428
0.694,0.502
0.763,0.527
0.734,0.6
0.708,0.637
0.604,0.574
0,0
0,0
0,0
0,0
0,0
0.138,0.023
0.661,0.634
0.547,0.475
0.84,0.774
0.536,0.369
0.754,0.774
0.462,0.57
0.753,0.818
0.647,0.945
0.561,0.681
0.48,0.65
0.704,0.776
0.591,0.65
0.519,0.654
0.381,0.533
0.823,0.762
0.578,0.562
0.448,0.633
0.723,0.815
0.765,0.828
0.398,0.636
0.204,0.455
0.512,0.748
0.472,0.735
0.214,0.628
0.615,0.838
0.376,0.673
0.317,0.685
0.416,0.756
0.298,0.665
0.448,0.764
0.096,0.764
0,0.541
0,0.722
0.11,0.775
0.598,0.916
0.175,0.648
0.575,0.836
0.396,0.872
0.494,0.921
0.117,0.796
0.511,0.932
0.066,0.843
0.362,0.87
0.422,0.761
0.351,0.87
0.623,0.879
0.648,0.922
0.556,0.898
0.621,0.907
0.523,0.884
0.698,0.909
