0,0,0.132,0.077
0,0,0.084,0.004
0,0,0.083,0
367.0378644,0,0.108,0.145
1484.445168,0.10279696,0.381,0.214
159.9959969,4.819355625,0.437,0.279
211.8729772,86.53281518,0.348,0.057
4630.558605,973.7844496,0.535,0
446.5524635,220.7998839,0.261,0
876.5253706,611.660595,0.749,0.527
367.3638154,2444.279696,0.568,0.473
412.5274343,2148.39882,0.591,0.428
221.8791848,2068.720637,0.694,0.502
158.8403148,1619.816324,0.763,0.527
321.7140019,2020.53338,0.734,0.6
342.2385532,989.5011604,0.708,0.637
359.80216,203.9892557,0.604,0.574
0,0,0,0
526.9775193,450.8554897,0,0
2809.660773,76.04423071,0,0
1977.76423,0,0,0
1238.517048,1319.128295,0,0
540.0808926,628.0719863,0.138,0.023
1117.894372,348.4330092,0.661,0.634
1310.673541,203.1330917,0.547,0.475
1350.664778,528.0879795,0.84,0.774
1300.552363,998.4017388,0.536,0.369
1261.442404,1412.390341,0.754,0.774
696.2108752,408.7821766,0.462,0.57
807.6735048,943.1743841,0.753,0.818
1018.61303,2280.008376,0.647,0.945
1046.108637,2907.364494,0.561,0.681
959.7591697,2514.329578,0.48,0.65
810.5800774,2182.956345,0.704,0.776
978.125,1925.925,0.591,0.65
1279.466667,1447.933333,0.519,0.654
1957.5,607.05,0.381,0.533
222.7714286,142.8,0.823,0.762
1989,1051.2,0.578,0.562
1555.34,2891.68,0.448,0.633
1447.7,1665.7,0.723,0.815
170.4,2653,0.765,0.828
2.7,3167.6,0.398,0.636
171.8,200.1,0.204,0.455
483.6,1309.2,0.512,0.748
800,2347.4,0.472,0.735
814.2,2448.7,0.214,0.628
714.6,2516.3,0.615,0.838
723.1,1367,0.376,0.673
718.4,2822.4,0.317,0.685
808.1,1179.9,0.416,0.756
946.7,3647,0.298,0.665
1163,3972.5,0.448,0.764
985.4,3547.7,0.096,0.764
596.6,1344.3,0,0.541
721.9,3847.5,0,0.722
592.5,2892.4,0.11,0.775
839.3,1518.6,0.598,0.916
637.1,1355.8,0.175,0.648
1328.6,4026.2,0.575,0.836
1187.9,2933.7,0.396,0.872
1248.1,3727.3,0.494,0.921
1162.4,3443.5,0.117,0.796
1739.6,3569.6,0.511,0.932
1404,2825.6,0.066,0.843
1375.4,2246.1,0.362,0.87
853.1,2500.2,0.422,0.761
815.5,2153.7,0.351,0.87
939.7,1955.9,0.623,0.879
1604.8,2194,0.648,0.922
370.2,1892.1,0.556,0.898
1224.3,3484.5,0.621,0.907
1041.5,2317.2,0.523,0.884
858.4,2070.5,0.698,0.909
