TIMESTAMP,NEE_VUT_REF,Cumulative
20040619,-1.20165,-124.4536322
20040620,-1.0991,-125.5527322
20040621,-2.17954,-127.7322722
20040622,-2.29008,-130.0223522
20040623,-3.42537,-133.4477222
20040624,-3.38197,-136.8296922
20040625,-2.76964,-139.5993322
20040626,-2.71711,-142.3164422
20040627,-2.96309,-145.2795322
20040628,-2.82604,-148.1055722
20040629,-3.27125,-151.3768222
20040630,-3.03604,-154.4128622
20040701,-3.24776,-157.6606222
20040702,-2.91981,-160.5804322
20040703,-1.61595,-162.1963822
20040704,-1.52648,-163.7228622
20040705,-1.74084,-165.4637022
20040706,-1.75183,-167.2155322
20040707,-2.21642,-169.4319522
20040708,-2.3103,-171.7422522
20040709,-1.42829,-173.1705422
20040710,-1.18033,-174.3508722
20040711,-2.93955,-177.2904222
20040712,-2.15588,-179.4463022
20040713,-2.62198,-182.0682822
20040714,-2.79106,-184.8593422
20040715,-2.18703,-187.0463722
20040716,-2.39317,-189.4395422
20040717,-1.69756,-191.1371022
20040718,-2.28369,-193.4207922
20040719,-2.24736,-195.6681522
20040720,-2.57508,-198.2432322
20040721,-2.67805,-200.9212822
20040722,-2.25376,-203.1750422
20040723,-1.20126,-204.3763022
20040724,-1.92394,-206.3002422
20040725,-2.39076,-208.6910022
20040726,-2.8434,-211.5344022
20040727,-1.79752,-213.3319222
20040728,-1.45058,-214.7825022
20040729,-1.81816,-216.6006622
20040730,-2.30765,-218.9083122
20040731,-2.13538,-221.0436922
20040801,-2.31718,-223.3608722
20040802,-0.329271,-223.6901432
20040803,-1.32692,-225.0170632
20040804,-2.265,-227.2820632
20040805,-2.06451,-229.3465732
20040806,-0.535574,-229.8821472
20040807,-0.854039,-230.7361862
20040808,-2.15399,-232.8901762
20040809,-2.08225,-234.9724262
20040810,-1.37136,-236.3437862
20040811,-1.07768,-237.4214662
20040812,-1.45654,-238.8780062
20040813,-1.28345,-240.1614562
20040814,-1.86192,-242.0233762
20040815,-1.88198,-243.9053562
20040816,-0.500618,-244.4059742
20040817,-0.100879,-244.5068532
20040818,-1.33576,-245.8426132
20040819,-1.23998,-247.0825932
20040820,-1.64559,-248.7281832
20040821,-1.21801,-249.9461932
20040822,-0.992289,-250.9384822
20040823,-0.918553,-251.8570352
20040824,-1.49328,-253.3503152
20040825,-1.28116,-254.6314752
20040826,-0.453471,-255.0849462
20040827,0.11244,-254.9725062
20040828,-0.62378,-255.5962862
20040829,-0.825932,-256.4222182
20040830,-0.174604,-256.5968222
20040831,-0.0612939,-256.6581161
20040901,0.07668,-256.5814361
20040902,0.106035,-256.4754011
20040903,0.0232575,-256.4521436
20040904,0.0545259,-256.3976177
20040905,0.136058,-256.2615597
20040906,0.323315,-255.9382447
20040907,0.152065,-255.7861797
20040908,0.516376,-255.2698037
20040909,0.558463,-254.7113407
20040910,0.670884,-254.0404567
20040911,0.859746,-253.1807107
20040912,0.856374,-252.3243367
20040913,0.77588,-251.5484567
20040914,0.542173,-251.0062837
20040915,0.607022,-250.3992617
20040916,0.611576,-249.7876857
20040917,0.558842,-249.2288437
20040918,0.762888,-248.4659557
20040919,0.878099,-247.5878567
20040920,1.04612,-246.5417367
20040921,1.27739,-245.2643467
20040922,1.26802,-243.9963267
20040923,1.21789,-242.7784367
20040924,1.18845,-241.5899867
20040925,1.12987,-240.4601167
20040926,1.12324,-239.3368767
20040927,1.18845,-238.1484267
20040928,1.12987,-237.0185567
20040929,1.12324,-235.8953167
20040930,1.18845,-234.7068667
20041001,1.12987,-233.5769967
20041002,1.12324,-232.4537567
20041003,1.18845,-231.2653067
20041004,1.12987,-230.1354367
20041005,1.12324,-229.0121967
20041006,1.18845,-227.8237467
20041007,1.12987,-226.6938767
20041008,1.12324,-225.5706367
20041009,1.18845,-224.3821867
20041010,1.12987,-223.2523167
20041011,1.12324,-222.1290767
20041012,1.18845,-220.9406267
20041013,1.12987,-219.8107567
20041014,1.12324,-218.6875167
20041015,1.18845,-217.4990667
20041016,1.12987,-216.3691967
20041017,1.12324,-215.2459567
20041018,1.18845,-214.0575067
20041019,1.12987,-212.9276367
20041020,1.12324,-211.8043967
20041021,1.18845,-210.6159467
20041022,1.12987,-209.4860767
20041023,1.12324,-208.3628367
20041024,1.18845,-207.1743867
20041025,1.12987,-206.0445167
20041026,1.12324,-204.9212767
20041027,1.18845,-203.7328267
20041028,1.12987,-202.6029567
20041029,1.12324,-201.4797167
20041030,1.18845,-200.2912667
20041031,1.12987,-199.1613967
20041101,1.12324,-198.0381567
20041102,1.18845,-196.8497067
20041103,1.12987,-195.7198367
20041104,1.12324,-194.5965967
20041105,1.18845,-193.4081467
20041106,1.12987,-192.2782767
20041107,1.12324,-191.1550367
20041108,1.18845,-189.9665867
20041109,1.12987,-188.8367167
20041110,1.12324,-187.7134767
20041111,1.18845,-186.5250267
20041112,1.12987,-185.3951567
