TIMESTAMP,NEE_VUT_REF,Cumulative
20040710,-0.0245634,-316.327313
20040711,-0.320034,-316.647347
20040712,-0.293562,-316.940909
20040713,0.211551,-316.729358
20040714,-0.200586,-316.929944
20040715,0.103037,-316.826907
20040716,0.254186,-316.572721
20040717,-0.202435,-316.775156
20040718,-0.25443,-317.029586
20040719,-0.153733,-317.183319
20040720,-0.0661245,-317.2494435
20040721,-0.215677,-317.4651205
20040722,-0.352877,-317.8179975
20040723,-0.306785,-318.1247825
20040724,-0.172385,-318.2971675
20040725,0.157392,-318.1397755
20040726,0.409714,-317.7300615
20040727,0.65398,-317.0760815
20040728,1.37941,-315.6966715
20040729,-0.188342,-315.8850135
20040730,-0.373363,-316.2583765
20040731,0.210661,-316.0477155
20040801,0.856541,-315.1911745
20040802,0.367279,-314.8238955
20040803,0.215812,-314.6080835
20040804,0.476598,-314.1314855
20040805,0.450403,-313.6810825
20040806,0.245769,-313.4353135
20040807,0.0382965,-313.397017
20040808,0.183208,-313.213809
20040809,-0.00866753,-313.2224765
20040810,-0.0715414,-313.2940179
20040811,-0.238268,-313.5322859
20040812,-0.373177,-313.9054629
20040813,0.135557,-313.7699059
20040814,-0.395595,-314.1655009
20040815,-0.210835,-314.3763359
20040816,-0.158898,-314.5352339
20040817,0.453239,-314.0819949
20040818,0.392012,-313.6899829
20040819,-0.121264,-313.8112469
20040820,-0.455775,-314.2670219
20040821,-0.426163,-314.6931849
20040822,-0.286659,-314.9798439
20040823,-0.196268,-315.1761119
20040824,-0.403455,-315.5795669
20040825,-0.380811,-315.9603779
20040826,-0.373354,-316.3337319
20040827,-0.115104,-316.4488359
20040828,-0.494028,-316.9428639
20040829,-0.580422,-317.5232859
20040830,-0.156989,-317.6802749
20040831,0.0120308,-317.6682441
20040901,0.0208146,-317.6474295
20040902,-0.151184,-317.7986135
20040903,0.0468347,-317.7517788
20040904,-0.0290705,-317.7808493
20040905,0.327549,-317.4533003
20040906,0.135347,-317.3179533
20040907,0.207446,-317.1105073
20040908,0.0178647,-317.0926426
20040909,0.281554,-316.8110886
20040910,1.17473,-315.6363586
20040911,0.116823,-315.5195356
20040912,0.363492,-315.1560436
20040913,0.061642,-315.0944016
20040914,0.138969,-314.9554326
20040915,0.155196,-314.8002366
20040916,0.0536335,-314.7466031
20040917,0.404317,-314.3422861
20040918,0.176234,-314.1660521
20040919,-0.0673263,-314.2333784
20040920,-0.159405,-314.3927834
20040921,0.255886,-314.1368974
20040922,0.542543,-313.5943544
20040923,0.345484,-313.2488704
20040924,0.357497,-312.8913734
20040925,0.192308,-312.6990654
20040926,0.248771,-312.4502944
20040927,0.397812,-312.0524824
20040928,0.574607,-311.4778754
20040929,0.365495,-311.1123804
20040930,0.304273,-310.8081074
20041001,0.686643,-310.1214644
20041002,0.409111,-309.7123534
20041003,0.277373,-309.4349804
20041004,0.455352,-308.9796284
20041005,0.302677,-308.6769514
20041006,0.386644,-308.2903074
20041007,0.451679,-307.8386284
20041008,0.274678,-307.5639504
20041009,0.2262,-307.3377504
20041010,0.15322,-307.1845304
20041011,0.270796,-306.9137344
20041012,-0.44774,-307.3614744
20041013,-0.396775,-307.7582494
20041014,-0.554236,-308.3124854
20041015,-0.371036,-308.6835214
20041016,-2.06311,-310.7466314
20041017,-1.24162,-311.9882514
20041018,0.364235,-311.6240164
20041019,-1.23385,-312.8578664
20041020,-0.134188,-312.9920544
20041021,0.603251,-312.3888034
20041022,0.307705,-312.0810984
20041023,0.439121,-311.6419774
